project, module, line
astropy_astropy,freedman_bin_width,53
astropy_astropy,test_freedman_bin_width,27
astropy_astropy,AsymmetricPercentileInterval.get_limits,65
scipy_scipy,_iqr_percentile,612
scipy_scipy,_iqr_percentile,633
scipy_scipy,cauchy_gen._fitstart,444
sklearn_sklearn,DummyRegressor.fit,174
sklearn_sklearn,RobustScaler.fit,373
sklearn_sklearn,test_robust_scale_axis1,624
sklearn_sklearn,test_robust_scaler_iris_quantiles,590
sklearn_sklearn,test_robust_scaler_iris,579
sklearn_sklearn,test_quantile_strategy_regressor,212
sklearn_sklearn,test_quantile_strategy_multioutput_regressor,219
matplotlib_matplotlib,module,32
matplotlib_matplotlib,_bootstrap_median,1218
matplotlib_matplotlib,boxplot_stats,1259
matplotlib_matplotlib,boxplot_stats,1275
matplotlib_matplotlib,boxplot_stats,1276
pandas_pandas,Block._nanpercentile1D,810
pandas_pandas,Block._nanpercentile,827
pandas_pandas,TestDataFrameQuantile.test_quantile_interpolation,75
pandas_pandas,TestDataFrameQuantile.test_quantile_interpolation,81
pandas_pandas,TestDataFrameQuantile.test_quantile_interpolation,88
pandas_pandas,TestDataFrameQuantile.test_quantile_interpolation_np_lt_1p9,114
dask_dask,_percentile,17
dask_dask,_percentile,22
dask_dask,_percentile,26
skimage_skimage,binary_blobs,14
skimage_skimage,is_low_contrast,119
skimage_skimage,canny,97
skimage_skimage,canny,98
librosa_librosa,cmap,94
librosa_librosa,cmap,95
librosa_librosa,__test,64
librosa_librosa,test_hpss,73
librosa_librosa,test_hpss,73
mne_python,test_scaler,52
mne_python,_bootstrap_ci,77
mne_python,test_accuracy,249
mne_python,_compute_scalings,1102
mne_python,_limits_to_control_points,904
mne_python,_limits_to_control_points,911
project, module, line
astropy_astropy,freedman_bin_width,53
astropy_astropy,test_freedman_bin_width,27
astropy_astropy,AsymmetricPercentileInterval.get_limits,65
scipy_scipy,_iqr_percentile,612
scipy_scipy,_iqr_percentile,633
scipy_scipy,cauchy_gen._fitstart,444
sklearn_sklearn,DummyRegressor.fit,174
sklearn_sklearn,RobustScaler.fit,373
sklearn_sklearn,test_robust_scale_axis1,624
sklearn_sklearn,test_robust_scaler_iris_quantiles,590
sklearn_sklearn,test_robust_scaler_iris,579
sklearn_sklearn,test_quantile_strategy_regressor,212
sklearn_sklearn,test_quantile_strategy_multioutput_regressor,219
matplotlib_matplotlib,module,32
matplotlib_matplotlib,_bootstrap_median,1218
matplotlib_matplotlib,boxplot_stats,1259
matplotlib_matplotlib,boxplot_stats,1275
matplotlib_matplotlib,boxplot_stats,1276
pandas_pandas,Block._nanpercentile1D,810
pandas_pandas,Block._nanpercentile,827
pandas_pandas,TestDataFrameQuantile.test_quantile_interpolation,75
pandas_pandas,TestDataFrameQuantile.test_quantile_interpolation,81
pandas_pandas,TestDataFrameQuantile.test_quantile_interpolation,88
pandas_pandas,TestDataFrameQuantile.test_quantile_interpolation_np_lt_1p9,114
dask_dask,_percentile,17
dask_dask,_percentile,22
dask_dask,_percentile,26
skimage_skimage,binary_blobs,14
skimage_skimage,is_low_contrast,119
skimage_skimage,canny,97
skimage_skimage,canny,98
librosa_librosa,cmap,94
librosa_librosa,cmap,95
librosa_librosa,__test,64
librosa_librosa,test_hpss,73
librosa_librosa,test_hpss,73
mne_python,test_scaler,52
mne_python,_bootstrap_ci,77
mne_python,test_accuracy,249
mne_python,_compute_scalings,1102
mne_python,_limits_to_control_points,904
mne_python,_limits_to_control_points,911
